Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Day,Month,Year,DayOfWeek
2010-03-11 00:00:00-05:00,0.5910376604687589,0.6075959205627441,0.5910376604687589,0.6075959205627441,3702000,0.0,0.0,0.0,11,3,2010,Thursday
2010-03-12 00:00:00-05:00,0.6080559950322565,0.61204189826884,0.5925712585449219,0.5925712585449219,4548000,0.0,0.0,0.0,12,3,2010,Friday
2010-03-15 00:00:00-04:00,0.5806122730783944,0.5868979842964895,0.5649739078305591,0.5738657116889954,534000,0.0,0.0,0.0,15,3,2010,Monday
2010-03-16 00:00:00-04:00,0.5810721746127245,0.6210879463403925,0.5801522289583865,0.6204743385314941,1260000,0.0,0.0,0.0,16,3,2010,Tuesday
2010-03-17 00:00:00-04:00,0.6439321507551278,0.6503714991296226,0.6312071438886642,0.642858624458313,2610000,0.0,0.0,0.0,17,3,2010,Wednesday
2010-03-18 00:00:00-04:00,0.6428587099599542,0.6446985475247253,0.6183285842092514,0.6272203922271729,1584000,0.0,0.0,0.0,18,3,2010,Thursday
2010-03-19 00:00:00-04:00,0.6194010638559589,0.6197083339439973,0.5884315946079215,0.5987032651901245,1596000,0.0,0.0,0.0,19,3,2010,Friday
2010-03-22 00:00:00-04:00,0.5868981924496871,0.6442385015484274,0.5835249105585971,0.6419387459754944,3804000,0.0,0.0,0.0,22,3,2010,Monday
2010-03-23 00:00:00-04:00,0.6509850171900042,0.6857877410325246,0.6506778019330542,0.6833343505859375,6114000,0.0,0.0,0.0,23,3,2010,Tuesday
2010-03-24 00:00:00-04:00,0.6767422967219668,0.6767422967219668,0.6420923307843813,0.645465612411499,2034000,0.0,0.0,0.0,24,3,2010,Wednesday
2010-03-25 00:00:00-04:00,0.6733689967334099,0.6830279910526926,0.6416323402775468,0.6422459483146667,2034000,0.0,0.0,0.0,25,3,2010,Thursday
2010-03-26 00:00:00-04:00,0.6594168981324626,0.662790180017601,0.6195547424244425,0.632127046585083,2322000,0.0,0.0,0.0,26,3,2010,Friday
2010-03-29 00:00:00-04:00,0.6525175951311604,0.6565044300648296,0.6445457346701483,0.649145245552063,1380000,0.0,0.0,0.0,29,3,2010,Monday
2010-03-30 00:00:00-04:00,0.6592640585940136,0.6684630789634426,0.6422458818766673,0.6615638136863708,1920000,0.0,0.0,0.0,30,3,2010,Tuesday
2010-03-31 00:00:00-04:00,0.6666233414113754,0.6715291898519237,0.6477653264604617,0.6512913107872009,1080000,0.0,0.0,0.0,31,3,2010,Wednesday
2010-04-01 00:00:00-04:00,0.6695359056835175,0.6965203551472682,0.6425523883383601,0.653437614440918,1644000,0.0,0.0,0.0,1,4,2010,Thursday
2010-04-05 00:00:00-04:00,0.6782747530966068,0.7113912692123241,0.6348866229704557,0.7087851762771606,1500000,0.0,0.0,0.0,5,4,2010,Monday
2010-04-06 00:00:00-04:00,0.6952930903943207,0.7080190285041049,0.6873211753520204,0.6980527639389038,1998000,0.0,0.0,0.0,6,4,2010,Tuesday
2010-04-07 00:00:00-04:00,0.7017324144835293,0.7195178371228473,0.6824144246659136,0.7049520611763,3414000,0.0,0.0,0.0,7,4,2010,Wednesday
2010-04-08 00:00:00-04:00,0.6922270679834184,0.6922270679834184,0.6574243972743091,0.6799619793891907,4470000,0.0,0.0,0.0,8,4,2010,Thursday
2010-04-09 00:00:00-04:00,0.6877811483580308,0.6983600340218317,0.6721427789500881,0.6980527639389038,1254000,0.0,0.0,0.0,9,4,2010,Friday
2010-04-12 00:00:00-04:00,0.7086316656858324,0.733622692178699,0.7001998322766455,0.7155309319496155,2400000,0.0,0.0,0.0,12,4,2010,Monday
2010-04-13 00:00:00-04:00,0.7195176475823435,0.7328562038660108,0.7103186281231298,0.7293292880058289,2904000,0.0,0.0,0.0,13,4,2010,Tuesday
2010-04-14 00:00:00-04:00,0.7745581536726878,0.825766366595669,0.7745581536726878,0.823159396648407,6504000,0.0,0.0,0.0,14,4,2010,Wednesday
2010-04-15 00:00:00-04:00,0.8378780511133661,0.8492241252817412,0.8208598171487109,0.8302124738693237,12666000,0.0,0.0,0.0,15,4,2010,Thursday
2010-04-16 00:00:00-04:00,0.8202470724756709,0.8202470724756709,0.762139532863799,0.7995492219924927,4452000,0.0,0.0,0.0,16,4,2010,Friday
2010-04-19 00:00:00-04:00,0.7727184682017997,0.7961759934230891,0.7284095109289209,0.7725648880004883,5712000,0.0,0.0,0.0,19,4,2010,Monday
