Date,SOXL,AMD,NVDA,INTC,QCOM
2019-06-03 00:00:00-04:00,6.954779624938965,27.579999923706055,3.3253045082092285,38.11042022705078,58.81528091430664
2019-06-04 00:00:00-04:00,7.837287425994873,29.56999969482422,3.5544817447662354,39.27671432495117,60.39461898803711
2019-06-05 00:00:00-04:00,7.681321620941162,29.5,3.5117275714874268,39.06626510620117,59.67340850830078
2019-06-06 00:00:00-04:00,8.00040054321289,31.81999969482422,3.573869466781616,39.54855728149414,60.18092346191406
2019-06-07 00:00:00-04:00,8.251245498657227,32.40999984741211,3.6166226863861084,40.364078521728516,61.16035842895508
2019-06-10 00:00:00-04:00,8.89460563659668,33.22999954223633,3.6894524097442627,41.03929901123047,62.807559967041016
2019-06-11 00:00:00-04:00,8.961540222167969,32.40999984741211,3.747119188308716,41.08314514160156,63.430824279785156
2019-06-12 00:00:00-04:00,8.329228401184082,32.18000030517578,3.6340222358703613,40.618377685546875,61.961692810058594
2019-06-13 00:00:00-04:00,8.48714542388916,31.389999389648438,3.6852269172668457,40.95161437988281,62.264427185058594
2019-06-14 00:00:00-04:00,7.814543724060059,30.360000610351562,3.5952460765838623,40.50438690185547,61.18706130981445
2019-06-17 00:00:00-04:00,7.657275676727295,29.200000762939453,3.6049399375915527,40.4517707824707,61.5343017578125
2019-06-18 00:00:00-04:00,8.656108856201172,30.450000762939453,3.8000640869140625,41.53913879394531,64.07189178466797
2019-06-19 00:00:00-04:00,8.673006057739258,30.5,3.806029796600342,41.27607345581055,63.929447174072266
2019-06-20 00:00:00-04:00,8.9134521484375,30.010000228881836,3.8303887844085693,41.38129425048828,64.76639556884766
2019-06-21 00:00:00-04:00,8.729540824890137,29.100000381469727,3.7722244262695312,41.618064880371094,64.74859619140625
2019-06-24 00:00:00-04:00,8.787381172180176,29.260000228881836,3.79459547996521,41.76713180541992,65.14037322998047
2019-06-25 00:00:00-04:00,8.414085388183594,28.860000610351562,3.7652649879455566,41.08314514160156,64.59722137451172
2019-06-26 00:00:00-04:00,9.20479679107666,29.920000076293945,3.9586479663848877,42.258201599121094,66.73413848876953
2019-06-27 00:00:00-04:00,9.610889434814453,30.739999771118164,4.057328701019287,41.618064880371094,67.16152954101562
2019-06-28 00:00:00-04:00,9.650590896606445,30.3700008392334,4.082185745239258,41.97759246826172,67.73137664794922
2019-07-01 00:00:00-04:00,10.431539535522461,31.200000762939453,4.130405902862549,42.135440826416016,69.02241516113281
2019-07-02 00:00:00-04:00,9.994205474853516,31.239999771118164,4.032471656799316,42.19681930541992,68.5683364868164
2019-07-03 00:00:00-04:00,9.838668823242188,31.190000534057617,4.045398235321045,42.547584533691406,68.22998809814453
2019-07-05 00:00:00-04:00,9.6818265914917,31.5,3.9827592372894287,42.16175079345703,68.25669860839844
2019-07-08 00:00:00-04:00,9.447542190551758,32.040000915527344,3.9076924324035645,41.93375015258789,68.22998809814453
2019-07-09 00:00:00-04:00,9.665558815002441,33.150001525878906,3.9101784229278564,41.87236404418945,68.15876770019531
2019-07-10 00:00:00-04:00,9.868602752685547,33.790000915527344,3.9785337448120117,42.27573776245117,66.20882415771484
2019-07-11 00:00:00-04:00,9.94344711303711,33.060001373291016,4.133141040802002,42.61773681640625,65.63006591796875
2019-07-12 00:00:00-04:00,10.51158618927002,33.209999084472656,4.166200637817383,43.77525329589844,66.68962097167969
2019-07-15 00:00:00-04:00,10.756285667419434,34.38999938964844,4.157749176025391,43.95063018798828,67.16152954101562
2019-07-16 00:00:00-04:00,10.408109664916992,33.849998474121094,4.153026580810547,43.1175651550293,67.37521362304688
2019-07-17 00:00:00-04:00,10.495314598083496,33.599998474121094,4.2183990478515625,43.31049346923828,67.45536041259766
2019-07-18 00:00:00-04:00,10.976250648498535,33.0,4.230080604553223,43.79278564453125,66.21774291992188
2019-07-19 00:00:00-04:00,10.903364181518555,32.5099983215332,4.186830043792725,44.08217239379883,66.7786636352539
2019-07-22 00:00:00-04:00,11.541790008544922,32.849998474121094,4.258418560028076,45.02922439575195,67.62451171875
2019-07-23 00:00:00-04:00,11.981072425842285,33.4900016784668,4.3662943840026855,45.37999725341797,65.99512481689453
2019-07-24 00:00:00-04:00,13.073102951049805,34.11000061035156,4.4408650398254395,46.40597915649414,67.55330657958984
2019-07-25 00:00:00-04:00,12.40994644165039,33.66999816894531,4.309622287750244,45.73952102661133,67.09030151367188
2019-07-26 00:00:00-04:00,12.400836944580078,34.02000045776367,4.351630210876465,45.23969268798828,66.97455596923828
2019-07-29 00:00:00-04:00,12.496499061584473,33.47999954223633,4.345415115356445,46.046451568603516,66.75194549560547
2019-07-30 00:00:00-04:00,12.411898612976074,33.869998931884766,4.361075401306152,45.33614730834961,66.60948944091797
2019-07-31 00:00:00-04:00,11.213140487670898,30.450000762939453,4.193790912628174,44.32770538330078,65.14037322998047
2019-08-01 00:00:00-04:00,10.540221214294434,29.860000610351562,4.099337577819824,43.406959533691406,63.395198822021484
2019-08-02 00:00:00-04:00,10.046269416809082,29.440000534057617,4.006622314453125,42.68788528442383,63.35069274902344
2019-08-05 00:00:00-04:00,8.733624458312988,27.989999771118164,3.7481141090393066,41.188377380371094,61.25830841064453
2019-08-06 00:00:00-04:00,9.084400177001953,28.860000610351562,3.7868893146514893,41.457637786865234,60.69736099243164
2019-08-07 00:00:00-04:00,9.27573299407959,29.190000534057617,3.825169086456299,41.25458908081055,61.79253005981445
2019-08-08 00:00:00-04:00,10.033905029296875,33.91999816894531,3.9337918758392334,41.64303207397461,63.448638916015625
